Approved_Symbol,Date_Name_Changed,Previous_Symbol,Synonyms,Linked_Genes
TNaC1,2015-12,ACCN3,ASIC3|DRASIC,ACCN3|ASIC3|DRASIC
DRASIC,2015-12,ACCN3,ASIC3|TNaC1,ACCN3|ASIC3|TNaC1
BCNG1,,,,
SNORD79,2006-05,RNU103,Z22|U79,RNU103|Z22|U79
Z22,2006-05,RNU103,SNORD79|U79,RNU103|SNORD79|U79
U79,2006-05,RNU103,SNORD79|Z22,RNU103|SNORD79|Z22
SNORD81,2006-05,RNU104,Z23|U81,RNU104|Z23|U81
Z23,2006-05,RNU104,SNORD81|U81,RNU104|SNORD81|U81
U81,2006-05,RNU104,SNORD81|Z23,RNU104|SNORD81|Z23
RNU105A,,,,
RNU105B,,,E1-2,E1-2
E1-2,,,RNU105B,RNU105B
RNU105C,,,E1-5|E1-6|U105C,E1-5|E1-6|U105C
E1-5,,,RNU105C|E1-6|U105C,RNU105C|E1-6|U105C
E1-6,,,RNU105C|E1-5|U105C,RNU105C|E1-5|U105C
U105C,,,RNU105C|E1-5|E1-6,RNU105C|E1-5|E1-6
SNORD12C,2007-07,RNU106|SNORD106,U106,RNU106|SNORD106|U106
U106,2007-07,RNU106|SNORD106,SNORD12C,RNU106|SNORD106|SNORD12C
SNORA63,2006-04,RNE3|RNU107,E3|E3-2|SNORA63A,RNE3|RNU107|E3|E3-2|SNORA63A
E3,2006-04,RNE3|RNU107,SNORA63|E3-2|SNORA63A,RNE3|RNU107|SNORA63|E3-2|SNORA63A
E3-2,2006-04,RNE3|RNU107,SNORA63|E3|SNORA63A,RNE3|RNU107|SNORA63|E3|SNORA63A
SNORA63A,2006-04,RNE3|RNU107,SNORA63|E3|E3-2,RNE3|RNU107|SNORA63|E3|E3-2
SNORA62,2006-04,RNE2|RNU108,E2|E2-1,RNE2|RNU108|E2|E2-1
E2,2006-04,RNE2|RNU108,SNORA62|E2-1,RNE2|RNU108|SNORA62|E2-1
E2-1,2006-04,RNE2|RNU108,SNORA62|E2,RNE2|RNU108|SNORA62|E2
RNU11,,,U11|RNU11-1,U11|RNU11-1
U11,,,RNU11|RNU11-1,RNU11|RNU11-1
RNU11-1,,,RNU11|U11,RNU11|U11
RNU12-2P,2011-04,RNU12|RNU12P,U12,RNU12|RNU12P|U12
U12,2011-04,RNU12|RNU12P,RNU12-2P,RNU12|RNU12P|RNU12-2P
BCNG2,,,,
SNORD13P1,2011-08,RNU13P1,U13|U13.32A,RNU13P1|U13|U13.32A
U13,2011-08,RNU13P1,SNORD13P1|U13.32A,RNU13P1|SNORD13P1|U13.32A
U13.32A,2011-08,RNU13P1,SNORD13P1|U13,RNU13P1|SNORD13P1|U13
SNORD13P2,2010-02,RNU13P2,U13|U13.12A,RNU13P2|U13|U13.12A
U13,2010-02,RNU13P2,SNORD13P2|U13.12A,RNU13P2|SNORD13P2|U13.12A
U13.12A,2010-02,RNU13P2,SNORD13P2|U13,RNU13P2|SNORD13P2|U13
SNORD13P3,2010-02,RNU13P3,U13|U13.4B,RNU13P3|U13|U13.4B
U13,2010-02,RNU13P3,SNORD13P3|U13.4B,RNU13P3|SNORD13P3|U13.4B
U13.4B,2010-02,RNU13P3,SNORD13P3|U13,RNU13P3|SNORD13P3|U13
SNORD14A,2006-05,RNU14,U14|RNU14A,RNU14|U14|RNU14A
U14,2006-05,RNU14,SNORD14A|RNU14A,RNU14|SNORD14A|RNU14A
RNU14A,2006-05,RNU14,SNORD14A|U14,RNU14|SNORD14A|U14
SNORD15A,2006-05,RNU15A,U15A,RNU15A|U15A
U15A,2006-05,RNU15A,SNORD15A,RNU15A|SNORD15A
SNORA73A,2006-04,RNE1|RNU17A,U17A|E1-7|E1b|E1,RNE1|RNU17A|U17A|E1-7|E1b|E1
U17A,2006-04,RNE1|RNU17A,SNORA73A|E1-7|E1b|E1,RNE1|RNU17A|SNORA73A|E1-7|E1b|E1
E1-7,2006-04,RNE1|RNU17A,SNORA73A|U17A|E1b|E1,RNE1|RNU17A|SNORA73A|U17A|E1b|E1
E1b,2006-04,RNE1|RNU17A,SNORA73A|U17A|E1-7|E1,RNE1|RNU17A|SNORA73A|U17A|E1-7|E1
E1,2006-04,RNE1|RNU17A,SNORA73A|U17A|E1-7|E1b,RNE1|RNU17A|SNORA73A|U17A|E1-7|E1b
SNORA73B,2006-04,RNU17B|RNU105A,U17B|E1c,RNU17B|RNU105A|U17B|E1c
U17B,2006-04,RNU17B|RNU105A,SNORA73B|E1c,RNU17B|RNU105A|SNORA73B|E1c
E1c,2006-04,RNU17B|RNU105A,SNORA73B|U17B,RNU17B|RNU105A|SNORA73B|U17B
RNU17C,,,,
SNHG3,2015-02,RNU17D|RNU17C,U17HG|U17HG-A|NCRNA00014,RNU17D|RNU17C|U17HG|U17HG-A|NCRNA00014
U17HG,2015-02,RNU17D|RNU17C,SNHG3|U17HG-A|NCRNA00014,RNU17D|RNU17C|SNHG3|U17HG-A|NCRNA00014
U17HG-A,2015-02,RNU17D|RNU17C,SNHG3|U17HG|NCRNA00014,RNU17D|RNU17C|SNHG3|U17HG|NCRNA00014
NCRNA00014,2015-02,RNU17D|RNU17C,SNHG3|U17HG|U17HG-A,RNU17D|RNU17C|SNHG3|U17HG|U17HG-A
SNORA74A,2006-04,RNU19,U19,RNU19|U19
U19,2006-04,RNU19,SNORA74A,RNU19|SNORA74A
OPN1SW,2017-01,BCP,BOP|CBT,BCP|BOP|CBT
BOP,2017-01,BCP,OPN1SW|CBT,BCP|OPN1SW|CBT
CBT,2017-01,BCP,OPN1SW|BOP,BCP|OPN1SW|BOP
RNU1-1,2009-11,RNU1|RNU1G4|RNU1A3|RNU1A,Rnu1a1|U1|HU1-1|U1A1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|Rnu1a1|U1|HU1-1|U1A1|HSD1
Rnu1a1,2009-11,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|U1|HU1-1|U1A1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|U1|HU1-1|U1A1|HSD1
U1,2009-11,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|Rnu1a1|HU1-1|U1A1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|Rnu1a1|HU1-1|U1A1|HSD1
HU1-1,2009-11,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|Rnu1a1|U1|U1A1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|Rnu1a1|U1|U1A1|HSD1
U1A1,2009-11,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|Rnu1a1|U1|HU1-1|HSD1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|Rnu1a1|U1|HU1-1|HSD1
HSD1,2009-11,RNU1|RNU1G4|RNU1A3|RNU1A,RNU1-1|Rnu1a1|U1|HU1-1|U1A1,RNU1|RNU1G4|RNU1A3|RNU1A|RNU1-1|Rnu1a1|U1|HU1-1|U1A1
RNU1A3,,,,
RNU1-2,2009-11,RNU1C1|RNU1C2,U1C1|U1C21,RNU1C1|RNU1C2|U1C1|U1C21
U1C1,2009-11,RNU1C1|RNU1C2,RNU1-2|U1C21,RNU1C1|RNU1C2|RNU1-2|U1C21
U1C21,2009-11,RNU1C1|RNU1C2,RNU1-2|U1C1,RNU1C1|RNU1C2|RNU1-2|U1C1
RNU1C2,,,,
RNU1D2,,,,
RNU1E2,,,,
RNU1F1,,,,
RNU1-4,2009-11,RNU1E2|RNU1G2|RNU1D2|RNU1F1|RNU1G1,HSD6|U1E2|HSD2|U1D2|HSD5|U1B2|U1F|HSD7,RNU1E2|RNU1G2|RNU1D2|RNU1F1|RNU1G1|HSD6|U1E2|HSD2|U1D2|HSD5|U1B2|U1F|HSD7
HSD6,2009-11,RNU1E2|RNU1G2|RNU1D2|RNU1F1|RNU1G1,RNU1-4|U1E2|HSD2|U1D2|HSD5|U1B2|U1F|HSD7,RNU1E2|RNU1G2|RNU1D2|RNU1F1|RNU1G1|RNU1-4|U1E2|HSD2|U1D2|HSD5|U1B2|U1F|HSD7
U1E2,2009-11,RNU1E2|RNU1G2|RNU1D2|RNU1F1|RNU1G1,RNU1-4|HSD6|HSD2|U1D2|HSD5|U1B2|U1F|HSD7,RNU1E2|RNU1G2|RNU1D2|RNU1F1|RNU1G1|RNU1-4|HSD6|HSD2|U1D2|HSD5|U1B2|U1F|HSD7
